id,mahalle,fiyat,brut,net,kat,bina_kat,banyo_sayi,isitma,oda_sayisi,site_ici,tarih,bina_yasi,balkon,asansor,cephe_K,cephe_B,cephe_D,cephe_G,deniz_man,nizam,longitude,latitude
1216,guvenevler,450000,140,130,9,9,1,1,2,0,2021/09/21,8,0,0,0,0,0,1,1,0,34.589,36.790
1217,guvenevler,2250000,450,375,17,18,4,2,4,0,2021/09/24,7,0,0,0,0,1,0,0,0,34.589,36.790
1218,guvenevler,275000,90,80,2,10,1,0,1,0,2021/09/26,10,0,0,0,1,0,1,1,0,34.591,36.791
1219,guvenevler,820000,225,200,4,5,2,1,3,1,2021/09/27,5,0,0,1,0,1,1,1,0,34.588,36.781
1220,guvenevler,550000,185,150,10,12,1,0,2,0,2021/09/13,8,0,0,0,0,1,0,1,0,34.583,36.786
1221,guvenevler,450000,105,90,1,5,2,1,1,1,2021/10/01,0,0,1,0,0,0,0,1,0,34.584,36.787
1222,guvenevler,245000,110,90,1,10,1,0,1,0,2021/09/14,10,0,0,0,1,0,1,1,0,34.585,36.786
1223,guvenevler,550000,160,135,7,12,1,0,2,0,2021/09/17,8,0,0,0,1,0,0,1,0,34.585,36.785
1224,guvenevler,429000,160,140,3,4,1,1,2,1,2021/09/23,9,1,1,0,1,0,0,1,0,34.584,36.785
1225,guvenevler,575000,180,160,7,10,1,1,2,1,2021/10/01,8,0,0,0,0,1,0,0,0,34.584,36.785
1226,guvenevler,600000,150,120,3,9,1,1,2,0,2021/08/17,8,0,0,0,0,1,0,1,0,34.585,36.785
1227,guvenevler,520,180,160,10,10,2,1,2,0,2021/09/11,8,0,0,0,0,1,0,0,0,34.585,36.785
1228,guvenevler,720000,200,175,8,9,2,1,2,0,2021/09/17,8,0,0,0,1,0,0,1,0,34.586,36.786
1229,guvenevler,775000,160,150,8,8,2,1,2,0,2021/09/15,7,0,0,0,0,0,0,1,0,34.586,36.787
1230,guvenevler,575,200,180,10,18,1,1,2,0,2021/09/12,5,0,0,0,1,0,0,0,0,34.587,36.787
1231,guvenevler,2250000,450,385,17,18,4,1,5,0,2021/09/30,0,0,0,0,0,1,0,0,0,34.587,36.787
1232,guvenevler,500000,180,130,10,10,1,1,2,0,2021/09/09,8,0,0,0,0,1,0,0,0,34.585,36.785
1233,guvenevler,745000,220,160,4,9,2,1,2,1,2021/09/07,7,0,0,0,0,0,0,1,0,34.586,36.788
1234,guvenevler,335000,100,90,10,10,1,1,1,0,2021/09/22,9,0,0,0,0,0,0,1,0,34.588,36.788
1235,guvenevler,900000,300,250,2,16,2,1,3,0,2021/09/30,5,0,0,0,0,1,0,1,0,34.588,36.789
1236,guvenevler,429000,160,140,3,4,1,1,2,1,2021/09/04,9,0,1,0,1,0,0,1,0,34.588,36.784
1237,guvenevler,290000,45,45,0,4,1,1,0,1,2021/09/26,0,1,1,0,0,1,0,1,0,34.590,36.789
1238,guvenevler,385000,120,100,4,4,1,1,1,1,2021/09/26,0,0,1,0,0,1,0,1,0,34.590,36.789
1239,guvenevler,315000,125,120,1,4,1,0,1,1,2021/09/30,9,0,1,1,1,0,0,1,0,34.596,36.784
1240,guvenevler,595000,280,180,10,18,1,0,2,0,2021/09/22,7,0,0,0,0,1,0,0,0,34.587,36.787
1241,guvenevler,600000,190,189,5,15,1,0,2,0,2021/09/10,8,0,0,0,0,0,1,1,0,34.587,36.788
1242,guvenevler,340000,120,110,3,10,1,0,1,0,2021/09/27,10,0,0,0,1,1,0,1,0,34.587,36.788
1243,guvenevler,1530000,210,170,4,6,2,1,3,0,2021/09/07,4,0,0,0,0,0,0,1,0,34.588,36.788
1244,guvenevler,640000,170,145,11,12,1,1,2,0,2021/09/06,8,0,0,0,0,1,0,1,0,34.589,36.788
12450,guvenevler,970000,270,260,3,12,2,1,3,1,2021/09/10,7,0,0,0,1,0,1,1,0,34.590,36.789
1245,guvenevler,740000,245,190,5,10,2,1,3,0,2021/10/01,7,0,0,0,1,0,0,1,0,34.590,36.788
